LotArea,LotShape,BldgType,YearBuilt,Neighborhood,YearRemodAdd,Heating,TtlHouseSF,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageType,GarageCars,PavedDrive,PoolArea,DateSold,SalePrice
6000,Reg,1Fam,1948,OldTown,1950,GasA,1578,1,0,2,0,Detchd,1,Y,0,2008-4-1,115000
8500,Reg,1Fam,1919,IDOTRR,2005,GasW,2310,2,0,3,0,NA,0,N,0,2007-8-1,115000
11751,IR1,1Fam,1977,NWAmes,1977,GasA,3688,2,0,3,1,Attchd,2,Y,0,2010-1-1,190000
9525,Reg,1Fam,1954,Edwards,1972,GasA,2849,2,0,4,0,Attchd,1,Y,0,2006-10-1,136900
7750,IR1,1Fam,2000,Gilbert,2000,GasA,1814,2,1,3,1,BuiltIn,2,Y,0,2010-4-1,180000
9965,Reg,1Fam,2007,CollgCr,2007,GasA,3960,2,1,4,1,BuiltIn,3,Y,0,2007-10-1,383970
21000,Reg,1Fam,1953,Crawfor,1953,GasA,4068,2,0,3,2,Basment,2,Y,0,2007-10-1,217000
7259,IR1,1Fam,1945,Crawfor,2002,GasA,3348,2,1,3,1,Detchd,1,Y,0,2007-7-1,259500
11616,Reg,1Fam,1962,Sawyer,1962,GasA,2184,1,0,3,1,Attchd,1,Y,0,2009-9-1,139000
8536,Reg,1Fam,2006,Edwards,2007,GasA,2250,1,1,2,0,Attchd,2,Y,0,2007-4-1,155000
12376,Reg,1Fam,1990,SawyerW,1990,GasA,4895,3,0,5,2,Attchd,3,Y,0,2010-5-1,320000
8461,Reg,1Fam,2005,CollgCr,2006,GasA,2184,2,1,3,1,Attchd,2,Y,0,2006-7-1,163990
21453,IR1,1Fam,1969,ClearCr,1969,GasA,1926,1,0,1,2,Attchd,2,Y,0,2006-10-1,180000
6060,Reg,1Fam,1939,IDOTRR,1950,GasA,1855,1,0,3,0,Detchd,1,P,0,2007-6-1,100000
9464,Reg,1Fam,1958,NAmes,1958,GasA,2160,1,0,3,0,Attchd,1,Y,0,2008-6-1,136000
7892,Reg,TwnhsE,1993,SawyerW,1993,GasA,2398,2,0,2,0,Attchd,2,Y,0,2008-3-1,153900
17043,IR1,1Fam,1979,NWAmes,1998,GasA,2948,2,0,3,1,Attchd,2,Y,0,2009-1-1,181000
6780,Reg,2fmCon,1935,IDOTRR,1982,GasA,1274,1,0,2,0,NA,0,N,0,2006-6-1,84500
4928,IR1,TwnhsE,1976,NPkVill,1976,GasA,2036,2,0,2,1,Attchd,2,Y,0,2007-2-1,128000
4388,IR1,1Fam,1930,OldTown,1950,GasA,1512,1,0,3,1,NA,0,N,0,2007-6-1,87000
7590,Reg,1Fam,1966,NAmes,1966,GasA,2008,1,1,3,1,Attchd,2,Y,0,2006-7-1,155000
8973,Reg,1Fam,1958,NAmes,1991,GasA,2061,1,1,3,0,2Types,2,Y,0,2006-7-1,150000
14200,Reg,1Fam,1966,NAmes,1966,GasA,3081,2,1,4,2,Attchd,2,Y,0,2006-5-1,226000
12224,IR1,1Fam,2000,Gilbert,2000,GasA,3046,2,1,3,1,BuiltIn,2,Y,0,2009-7-1,244000
7388,Reg,1Fam,1959,NAmes,2002,GasA,2390,1,0,3,0,Detchd,2,Y,0,2007-7-1,150750
6853,IR1,1Fam,2001,Timber,2002,GasA,2563,2,0,2,0,Attchd,2,Y,0,2009-6-1,220000
10335,IR1,1Fam,1968,Sawyer,1993,GasA,3182,2,1,3,1,Attchd,2,Y,0,2006-7-1,180000
10400,Reg,1Fam,1970,NWAmes,1970,GasA,2986,2,0,3,1,Attchd,2,Y,0,2008-5-1,174000
10355,IR1,1Fam,1967,NAmes,1967,GasA,2428,2,0,3,1,Attchd,1,Y,0,2007-7-1,143000
11070,Reg,Duplex,1988,Mitchel,1989,GasA,3866,3,0,5,0,2Types,3,Y,0,2006-7-1,171000
9066,IR1,1Fam,1999,CollgCr,2000,GasA,2856,2,1,3,2,Attchd,3,Y,0,2008-12-1,230000
15426,IR1,1Fam,1997,CollgCr,1997,GasA,2692,2,1,3,0,Attchd,2,Y,0,2009-8-1,231500
10500,Reg,1Fam,1971,NAmes,1971,GasA,1728,1,0,3,1,NA,0,Y,0,2010-4-1,115000
11645,Reg,1Fam,2005,CollgCr,2005,GasA,3468,2,0,3,0,Attchd,2,Y,0,2006-1-1,260000
8520,Reg,1Fam,1952,NAmes,1952,GasA,2295,2,0,4,0,Detchd,2,Y,0,2010-6-1,166000
10335,IR1,1Fam,1999,CollgCr,1999,GasA,2991,2,0,3,0,Attchd,2,Y,0,2009-6-1,204000
9100,Reg,Duplex,1963,Sawyer,1963,GasA,3456,2,0,6,0,Detchd,2,Y,0,2006-11-1,125000
2522,Reg,Twnhs,2004,Edwards,2006,GasA,2679,2,0,3,0,Detchd,2,Y,0,2006-4-1,130000
6120,Reg,1Fam,1931,BrkSide,1993,GasA,1590,1,0,2,0,Detchd,1,Y,0,2009-11-1,105000
9505,IR1,1Fam,2001,Gilbert,2001,GasA,2919,2,1,3,1,BuiltIn,2,Y,0,2010-5-1,222500
7500,Reg,1Fam,2004,SawyerW,2005,GasA,2160,1,0,3,0,NA,0,Y,0,2008-4-1,141000
6240,Reg,1Fam,1936,BrkSide,1950,GasA,2240,1,0,3,0,Detchd,1,Y,0,2006-4-1,115000
10356,Reg,1Fam,1975,CollgCr,1975,GasA,1938,1,1,3,0,Attchd,2,Y,0,2007-1-1,122000
13891,Reg,1Fam,2007,NridgHt,2008,GasA,3420,2,0,2,1,Attchd,3,Y,0,2008-1-1,372402
14803,IR1,1Fam,1971,NWAmes,1971,GasA,2818,2,1,4,1,Attchd,2,Y,0,2006-6-1,190000
13500,Reg,1Fam,1960,ClearCr,1975,GasA,2854,1,0,1,1,Attchd,2,Y,0,2008-3-1,235000
11340,Reg,1Fam,1923,OldTown,1950,GasA,2400,1,0,4,0,Detchd,1,Y,0,2006-3-1,125000
9600,Reg,1Fam,1924,Edwards,1950,Grav,1668,1,0,2,0,NA,0,N,0,2008-4-1,79000
7200,Reg,1Fam,1950,NAmes,1950,GasA,1040,1,0,2,0,Detchd,2,Y,0,2006-6-1,109500
12003,Reg,1Fam,2009,Timber,2010,GasA,2742,2,1,4,1,BuiltIn,3,Y,0,2010-5-1,269500
19378,IR1,1Fam,2005,Gilbert,2006,GasA,3854,2,1,4,1,Attchd,2,Y,0,2006-3-1,320000
11120,IR1,1Fam,1984,Veenker,1984,GasA,2464,2,0,3,0,Attchd,2,Y,0,2008-6-1,162500
13688,IR1,1Fam,2003,NridgHt,2004,GasA,4240,2,1,3,2,BuiltIn,3,Y,0,2008-3-1,412500
12182,Reg,1Fam,2005,NridgHt,2005,GasA,3082,2,0,3,1,Attchd,2,Y,0,2010-5-1,220000
5500,Reg,1Fam,1956,OldTown,1956,GasA,1764,1,0,1,0,NA,0,Y,0,2007-4-1,103200
5400,Reg,1Fam,1926,OldTown,2004,GasA,2765,2,0,3,0,Detchd,1,Y,0,2007-10-1,152000
10106,Reg,2fmCon,1940,Edwards,1999,GasA,1999,2,0,4,0,NA,0,Y,0,2008-9-1,127500
10708,IR1,1Fam,1955,ClearCr,1993,GasA,3484,1,0,2,3,Attchd,1,Y,0,2009-11-1,190000
10562,Reg,1Fam,2007,NridgHt,2007,GasA,3743,1,1,3,1,Attchd,3,Y,0,2007-11-1,325624
8244,IR1,1Fam,2004,Gilbert,2004,GasA,2560,2,1,3,1,Attchd,2,Y,0,2007-5-1,183500
16669,IR1,1Fam,1981,Timber,1981,GasA,3393,2,1,2,1,Attchd,2,Y,0,2006-1-1,228000
12358,IR1,1Fam,1941,OldTown,1950,GasA,2102,1,1,2,0,Detchd,2,Y,0,2007-5-1,128500
31770,IR1,1Fam,1960,NAmes,1960,GasA,2736,1,0,3,2,Attchd,2,P,0,2010-5-1,215000
5306,IR1,TwnhsE,1987,StoneBr,1987,GasA,2831,2,0,2,1,Attchd,2,Y,0,2006-6-1,239000
10197,IR1,1Fam,1961,NAmes,1961,GasA,2724,1,1,3,1,Attchd,2,Y,0,2008-6-1,163000
12416,IR1,1Fam,1986,Timber,1986,GasA,3257,2,0,3,1,Attchd,2,Y,0,2008-11-1,184000
12615,Reg,1Fam,1950,Edwards,2001,GasA,3360,2,0,4,1,Attchd,2,Y,0,2007-6-1,243000
10029,IR1,1Fam,1988,ClearCr,1989,GasA,3211,2,1,4,1,Attchd,2,Y,0,2007-9-1,211000
13650,Reg,1Fam,1958,Sawyer,1958,GasA,2972,2,0,4,1,Attchd,2,Y,0,2006-7-1,172500
17423,IR1,1Fam,2008,StoneBr,2009,GasA,4450,2,0,1,1,Attchd,3,Y,0,2009-7-1,501837
8520,Reg,1Fam,1923,OldTown,2006,GasA,1936,1,0,2,0,Detchd,2,N,0,2007-7-1,100000
7588,Reg,1Fam,1920,Crawfor,1950,GasA,2595,1,1,4,1,Detchd,1,Y,0,2006-7-1,200100
9060,Reg,1Fam,1957,Edwards,2006,GasA,1340,1,0,3,1,Attchd,1,Y,0,2007-6-1,120000
11426,Reg,1Fam,2003,OldTown,2003,GasA,3444,2,1,3,0,Detchd,2,N,0,2008-6-1,200000
7438,IR1,1Fam,1908,BrkSide,1991,GasA,1756,1,0,3,0,Attchd,2,Y,0,2006-6-1,127000
22950,IR2,1Fam,1892,OldTown,1993,GasA,4715,2,1,4,2,Detchd,3,Y,0,2006-6-1,475000
9947,IR1,1Fam,1990,Mitchel,1991,GasA,2405,2,0,3,0,Attchd,2,Y,0,2009-6-1,173000
10410,Reg,1Fam,1916,OldTown,1987,GasA,2316,2,1,3,0,Detchd,1,N,0,2009-8-1,135000
10570,Reg,1Fam,1932,Crawfor,1994,GasA,3580,2,1,3,2,Detchd,2,Y,0,2007-12-1,315000
7472,IR1,1Fam,1972,NAmes,2004,GasA,2204,1,1,4,0,Attchd,2,Y,0,2007-6-1,184000
9017,IR1,1Fam,1999,CollgCr,1999,GasA,2862,2,0,3,0,Attchd,2,Y,0,2009-9-1,192000
2522,Reg,Twnhs,2004,Edwards,2004,GasA,2679,2,0,3,0,Detchd,2,Y,0,2006-5-1,130000
7180,IR1,1Fam,1972,CollgCr,1972,GasA,1728,1,0,3,0,Detchd,1,Y,0,2008-5-1,127000
2280,Reg,Twnhs,1976,NPkVill,1976,GasA,2311,2,1,3,1,Attchd,2,Y,0,2009-7-1,148500
9416,Reg,1Fam,2007,Somerst,2007,GasA,3452,2,0,3,1,Attchd,3,Y,0,2007-9-1,311872
25419,Reg,1Fam,1918,NAmes,1990,GasA,4472,2,0,4,1,Detchd,2,Y,512,2006-3-1,235000
5520,Reg,1Fam,1912,OldTown,1950,GasA,2984,1,0,5,0,NA,0,Y,0,2009-7-1,104000
9591,Reg,1Fam,2004,NridgHt,2005,GasA,3426,2,0,3,1,Attchd,3,Y,0,2009-1-1,274900
8546,Reg,1Fam,2003,Edwards,2004,GasA,2242,2,0,2,0,Attchd,2,Y,0,2010-3-1,140000
10125,Reg,1Fam,1977,Mitchel,1977,GasA,2475,2,0,3,2,Detchd,2,Y,0,2008-2-1,171500
7000,Reg,1Fam,1924,OldTown,1950,GasA,1927,2,0,2,0,Attchd,1,Y,0,2006-5-1,112000
4438,Reg,TwnhsE,2004,CollgCr,2004,GasA,1696,1,0,1,1,Attchd,2,Y,0,2008-1-1,149000
3500,Reg,1Fam,1947,OldTown,1950,GasA,2004,1,1,2,0,Detchd,1,Y,0,2009-4-1,110000
11851,Reg,1Fam,1990,Gilbert,1990,GasA,2866,2,0,3,0,Attchd,2,Y,0,2009-5-1,180500
13673,IR1,1Fam,1962,Sawyer,1962,GasA,2836,1,1,3,1,Attchd,1,Y,0,2007-3-1,143900
12493,IR1,1Fam,1960,NAmes,1960,GasA,2200,1,0,3,1,Attchd,1,Y,0,2008-4-1,141000
14364,IR1,1Fam,1988,SawyerW,1989,GasA,3219,2,1,3,1,Attchd,2,Y,0,2007-4-1,277000
8250,Reg,1Fam,1964,NAmes,1964,GasA,2184,1,0,3,0,Attchd,2,Y,0,2008-7-1,145000
5604,Reg,1Fam,1925,Edwards,1950,GasA,1728,1,0,2,0,NA,0,Y,0,2008-4-1,98000
10420,Reg,1Fam,2009,Edwards,2009,GasA,2424,2,0,3,0,Attchd,2,Y,0,2010-3-1,186000
13568,IR2,1Fam,1995,CollgCr,1995,GasA,1980,1,0,3,0,Attchd,2,Y,0,2006-7-1,156000
10900,IR1,1Fam,1977,CollgCr,1977,GasA,2081,1,1,3,0,Attchd,1,Y,0,2010-3-1,161750
10011,IR1,1Fam,1957,NAmes,1996,GasA,2306,1,0,2,1,Attchd,1,Y,0,2006-5-1,134450
8450,Reg,1Fam,2004,CollgCr,2004,GasA,2872,2,0,3,0,Attchd,2,Y,0,2008-4-1,210000
9906,Reg,1Fam,1925,OldTown,1950,GasA,2014,1,0,3,0,Detchd,1,Y,0,2006-9-1,107000
15660,IR1,1Fam,1939,Crawfor,2006,GasA,2752,1,1,3,2,Attchd,2,Y,0,2008-5-1,311500
3010,Reg,TwnhsE,2005,Blmngtn,2006,GasA,2496,2,0,2,0,Attchd,2,Y,0,2006-3-1,167240
8990,IR1,1Fam,2006,CollgCr,2006,GasA,2996,2,0,2,0,Attchd,2,Y,0,2006-4-1,204900
8068,IR1,1Fam,2002,Gilbert,2002,GasA,3277,2,1,4,1,BuiltIn,2,Y,0,2009-12-1,200000
11475,Reg,1Fam,1975,NWAmes,1975,GasA,2265,2,1,3,1,Attchd,2,Y,0,2006-2-1,179900
10500,Reg,1Fam,1971,NAmes,1971,GasA,1728,1,0,2,0,Detchd,2,Y,0,2009-3-1,97000
13472,Reg,1Fam,2003,NridgHt,2003,GasA,4784,2,0,3,1,Attchd,3,Y,0,2009-6-1,386250
1680,Reg,Twnhs,1971,BrDale,1971,GasA,1932,2,1,3,0,Detchd,1,Y,0,2009-5-1,112000
9950,IR1,1Fam,1995,NoRidge,1995,GasA,3723,2,1,4,1,Attchd,3,Y,0,2007-6-1,290000
1869,Reg,Twnhs,1970,BrDale,1970,GasA,1470,1,1,2,0,Detchd,1,Y,0,2008-9-1,106000
8521,Reg,1Fam,1967,Sawyer,1967,GasA,1824,1,0,3,1,Detchd,1,Y,0,2010-5-1,125000
3182,Reg,TwnhsE,2005,Blmngtn,2006,GasA,2928,2,0,2,1,Attchd,2,Y,0,2009-5-1,192500
8760,Reg,1Fam,1959,NAmes,1959,GasA,2388,1,0,3,0,Attchd,1,Y,0,2010-4-1,148000
15138,IR1,1Fam,1995,NoRidge,1996,GasA,4256,2,1,4,1,Attchd,3,Y,0,2009-7-1,403000
1680,Reg,Twnhs,1972,BrDale,1972,GasA,1470,1,1,2,1,Attchd,1,Y,0,2006-6-1,94500
10650,Reg,1Fam,1976,CollgCr,1976,GasA,1788,1,0,3,0,Attchd,1,Y,0,2010-2-1,128200
7851,Reg,1Fam,2002,Gilbert,2002,GasA,2820,2,1,4,2,BuiltIn,2,Y,0,2010-5-1,216500
1680,Reg,TwnhsE,1971,BrDale,1971,GasA,1470,1,1,2,0,Detchd,1,Y,0,2008-8-1,89500
8773,Reg,1Fam,2004,CollgCr,2004,GasA,2828,2,0,3,0,Attchd,2,Y,0,2010-5-1,185500
9453,IR1,1Fam,1993,SawyerW,2003,GasA,2740,2,1,3,0,Attchd,2,Y,0,2010-2-1,194500
12030,Reg,1Fam,2007,NridgHt,2007,GasA,3388,2,0,3,0,Attchd,3,Y,0,2007-12-1,318000
8741,Reg,1Fam,1945,Edwards,1950,GasA,2222,1,1,3,1,Detchd,1,Y,0,2010-4-1,113000
